,Text_clean,positive_score,negative_score,polarity_score,number_words,subjectivity,Sentiment
0,im an alien,0,0,0.0,2,0.0,Neutral
1,ray tracing on cyberpunk with hdr is next level have you tried it,0,0,0.0,5,0.0,Neutral
2,great interview,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
3,doge is underestimated,0,0,0.0,2,0.0,Neutral
4,congratulations tesla china for amazing execution last year now on to the next for even more,2,0,0.99999950000025,6,0.33333327777778704,Most Positive
5,happy new year of the ox,1,0,0.9999990000010001,3,0.33333322222225925,Most Positive
6,frodo was the underdogeall thought he would failhimself most of all,0,0,0.0,4,0.0,Neutral
7,haha thanks,0,0,0.0,1,0.0,Neutral
8,indeed tweets definitely do not represent real world time allocation,0,0,0.0,6,0.0,Neutral
9,the most entertaining outcome is the most likely,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
10,just sent some,0,0,0.0,0,0.0,Neutral
11,just agree to do clubhouse with,0,0,0.0,2,0.0,Neutral
12,,0,0,0.0,0,0.0,Neutral
13,its getting real,0,0,0.0,1,0.0,Neutral
14,bought some dogecoin for lil x so he can be a toddler hodler,0,0,0.0,5,0.0,Neutral
15,he definitely has issues but the sentencing seems a bit high,0,1,-0.9999990000010001,4,0.24999993750001562,Most Negative
16,thanks for fixing,0,0,0.0,1,0.0,Neutral
17,please unlock my account,0,0,0.0,2,0.0,Neutral
18,u+fu+f,0,0,0.0,1,0.0,Neutral
19,this is true power haha,0,0,0.0,3,0.0,Neutral
20,any crypto wallet that wont give you your private keys should be avoided at all costs,0,0,0.0,8,0.0,Neutral
21,your app sucks,0,1,-0.9999990000010001,2,0.499999750000125,Most Negative
22, nasa has selected falcon heavy to launch the first two elements of the lunar gateway together on one mission,0,0,0.0,9,0.0,Neutral
23,yes,0,0,0.0,0,0.0,Neutral
24,once we can predict cash flow reasonably well starlink will ipo,2,0,0.99999950000025,5,0.399999920000016,Most Positive
25,starlink is a staggeringly difficult technical &amp economic endeavor however if we don,0,1,-0.9999990000010001,9,0.11111109876543349,Most Negative
26,spacex needs to pass through a deep chasm of negative cash flow over the next year or,0,1,-0.9999990000010001,8,0.12499998437500197,Most Negative
27,lowest cost per ton of carbon sequestered net of value of any product made must be scalable to g,0,0,0.0,9,0.0,Neutral
28,its meant to be the same price in all countries only difference should be taxes &amp shipping,0,0,0.0,8,0.0,Neutral
29,this is intended for earth but there may be some ideas that apply to mars too,0,0,0.0,5,0.0,Neutral
30,u+fu+f,0,0,0.0,1,0.0,Neutral
31,xprize team will manage the m carbon capture prize,1,0,0.9999990000010001,6,0.16666663888889352,Most Positive
32,everyone at tesla receives stock my comp is all stock options which i do not take off the table thats what youre missing,0,0,0.0,9,0.0,Neutral
33,back to work i go,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
34,does seem a bit high,0,0,0.0,2,0.0,Neutral
35,doge appears to be inflationary but is not meaningfully so fixed of coins per unit time whereas,0,1,-0.9999990000010001,8,0.12499998437500197,Most Negative
36,wow,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
37, orbital launch tower that can stack enough raptors for orbit booster improve ship &amp booster mass,2,0,0.99999950000025,13,0.15384614201183525,Most Positive
38,back to work tonight,1,0,0.9999990000010001,3,0.33333322222225925,Most Positive
39,is for ogecoin instructional video,0,0,0.0,3,0.0,Neutral
40,the people have spoken,0,0,0.0,2,0.0,Neutral
41,so cute u+f,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
42,extremely misleading image as doesnt reflect true time cost to people or rain &amp pain,0,2,-0.99999950000025,13,0.15384614201183525,Most Negative
43,u+fb who let the doge out u+fb,0,0,0.0,3,0.0,Neutral
44,hodl the rainforests,0,0,0.0,2,0.0,Neutral
45,so its finally come to this,0,0,0.0,1,0.0,Neutral
46,its the most fun crypto,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
47,its simplicity is its genius,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
48,yup,0,0,0.0,1,0.0,Neutral
49,u+fu+f,0,0,0.0,1,0.0,Neutral
50,true,0,0,0.0,1,0.0,Neutral
51,u+fu+f,0,0,0.0,1,0.0,Neutral
52,not that easy this is two decades of intense work have to look at old notes emails texts,2,1,0.33333322222225925,7,0.4285713673469475,Positive
53,yes,0,0,0.0,0,0.0,Neutral
54,lessons learned,0,0,0.0,2,0.0,Neutral
55,of earth and mars,0,0,0.0,2,0.0,Neutral
56,time to tell the story of tesla &amp spacex,0,0,0.0,6,0.0,Neutral
57,have you read  its great,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
58,the second last kingdom,0,0,0.0,1,0.0,Neutral
59,havent heard that name in years,0,0,0.0,3,0.0,Neutral
60,dogecake,0,0,0.0,1,0.0,Neutral
61,yolt,0,0,0.0,1,0.0,Neutral
62,thats damian,0,0,0.0,1,0.0,Neutral
63,yeah,0,0,0.0,1,0.0,Neutral
64,sure,0,0,0.0,0,0.0,Neutral
65,the great thing about restaurants is that you get to hang out with strangers   sjm,1,1,0.0,6,0.33333327777778704,Neutral
66,the future currency of earth,0,0,0.0,3,0.0,Neutral
67,just a scratch,0,1,-0.9999990000010001,1,0.9999990000010001,Most Negative
68,much wow,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
69,u+fa,0,0,0.0,1,0.0,Neutral
70,destiny,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
71,franz was essential,0,0,0.0,2,0.0,Neutral
72,that said the ship landing burn has a clear solution my greate,1,1,0.0,6,0.33333327777778704,Neutral
73,will still use hot gas maneuvering rcs thrusters,1,0,0.9999990000010001,5,0.199999960000008,Most Positive
74,higher isp too,0,0,0.0,2,0.0,Neutral
75,intuitively it would seem so but turbopump fed raptors have mu,0,0,0.0,5,0.0,Neutral
76,yes,0,0,0.0,0,0.0,Neutral
77, falcon will launch spherex mission which will collect data on more than million galaxies and explore how the un,0,0,0.0,9,0.0,Neutral
78, falcon launches starlink satellites to orbit mission from pad a on deck,0,0,0.0,8,0.0,Neutral
79,its true,0,0,0.0,1,0.0,Neutral
80,yeah by default engine with least lever arm would shut down if all are good,1,0,0.9999990000010001,7,0.1428571224489825,Most Positive
81,yes but engines have a min throttle point where there is flameout risk so la,0,2,-0.99999950000025,7,0.285714244897965,Most Negative
82,yes,0,0,0.0,0,0.0,Neutral
83,it was foolish of us not to start engines &amp immediately shut down  as are needed to land,0,1,-0.9999990000010001,9,0.11111109876543349,Most Negative
84,i am become memedestroyer of shorts,0,0,0.0,2,0.0,Neutral
85,might actually happen,0,0,0.0,1,0.0,Neutral
86,sandstorm is a masterpiece,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
87,we were too dumb,0,1,-0.9999990000010001,1,0.9999990000010001,Most Negative
88,next time we try pull *up* method,0,0,0.0,5,0.0,Neutral
89,low key loki,0,0,0.0,3,0.0,Neutral
90,no highs no lows only doge,0,0,0.0,3,0.0,Neutral
91,no need to be a gigachad to own,0,0,0.0,1,0.0,Neutral
92,dogecoin is the peoples crypto,0,0,0.0,3,0.0,Neutral
93,ur welcome,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
94,the most entertaining outcome is the most likely,1,0,0.9999990000010001,2,0.499999750000125,Most Positive
95,doge,0,0,0.0,1,0.0,Neutral
96,,0,0,0.0,0,0.0,Neutral
97,high seas &amp wind,0,0,0.0,5,0.0,Neutral
98,this was a tough one,1,0,0.9999990000010001,1,0.9999990000010001,Most Positive
99, watch falcon launch starlink satellites u+,0,0,0.0,6,0.0,Neutral
100,off twitter for a while,0,0,0.0,1,0.0,Neutral
101,it will be filled with graffiti art,0,0,0.0,3,0.0,Neutral
102,u+cu+b u+u+u+u+bu+u+u+c,0,0,0.0,2,0.0,Neutral
